id,label,user_name,shop_name,vip,discount,overall,taste,environment,service,ingredient,consumption,food,picture,like,response,interaction,time
1,0,948db4806c2fa67bb5aeb279ab6c7908,f01c44615f309bcd49b12d226c19087f,1,0,4.0,4.0,4.0,4.0,4.0,80.0,3,10,1,0,0,2020-11-12 10:51:00
2,0,78ff4f0dfb107fb72d4a9123f5dea326,752f7b0b9a98d97b5997f5d8f0c19942,1,0,4.0,4.0,5.0,5.0,4.0,0.0,0,3,0,0,0,2020-10-10 12:43:00
3,0,f3f2284d02b9e27241dc64100907350e,cbe494962cf5deaf42d312a4e2524176,1,1,4.0,4.5,3.5,4.0,4.0,90.0,0,5,1,0,0,2020-09-02 17:47:00
4,0,3a48b2b4b3bedf99dc54957d51bc86e8,f8e979c237d8e7c7c409786b5e60eb22,1,0,4.0,4.0,4.0,4.0,4.0,0.0,0,5,3,0,0,2020-08-22 18:14:00
5,0,3ee0a156e505f21a25e76283d80e6b86,8923fa24f17fbcea32005b34c0dae77c,1,1,4.0,4.0,4.0,4.0,4.0,0.0,0,3,1,0,0,2020-09-05 20:53:00
6,0,535573f76b0846888f8714a47ac9d4a4,2bbf2e4486dd3ce19ebe33e57a99f09f,1,1,4.0,4.0,4.0,3.5,4.0,60.0,2,6,17,0,0,2020-06-17 10:59:00
7,0,a550b6e002b3b5377173846f80fd369a,f7ca48d2d29f4392fc0f8ad9666125c0,1,1,4.0,4.0,4.0,4.0,4.0,64.0,3,0,0,0,0,2020-10-24 13:03:00
8,0,bf5a3500db04ae7eb3ac20bde82f323f,3fb39f8da474b41add76d422d4f28dfe,1,0,3.5,3.5,4.0,4.0,3.5,0.0,0,6,1,0,0,2020-07-13 08:33:00
9,0,13726c92e62d370f45d1276d27cbf02f,22d93fce4c45e739c724f4913ca27b5e,1,0,4.0,3.5,3.5,3.5,3.5,0.0,0,3,3,1,1,2020-08-03 11:32:00
10,0,a57080721ad609a910d37f0cc16c33b9,967af023cd85e51e79ca3577f31ce788,1,1,4.0,4.0,4.0,4.0,4.0,0.0,0,5,3,0,0,2020-08-16 08:35:00
11,0,33f45034b9e1e572818c99e012de4d9a,195e1e4c3aa2455d95deef2619385596,1,1,4.5,4.5,4.5,4.5,4.5,0.0,0,1,1,0,1,2020-09-28 09:48:00
12,0,2a4db56198ee05dde70bdd4018ae0ddb,b703d1e9cdbecc5867112df1f749ff28,1,0,3.5,3.5,3.0,4.0,4.0,60.0,0,0,1,0,0,2020-08-19 12:00:00
13,0,5471a49d1ed6091b5e411f8aee560c60,cb8a2082a4436c27176af3cb4b7fcbeb,1,1,4.0,4.0,5.0,5.0,4.0,0.0,0,0,0,1,1,2020-11-13 11:21:00
14,0,7a26ad9a8c67a98c61193664a6a66564,62f2cd4cd1186cd067631c950e1415d7,1,1,3.5,3.5,3.5,3.5,3.5,0.0,0,0,1,0,1,2020-03-02 20:08:00
15,0,d274deed72abc77e21eeb3b416244347,f961c5317ec794dbda30f2a928e743e3,1,0,5.0,5.0,5.0,5.0,5.0,0.0,6,0,0,0,0,2020-02-26 10:22:00
16,0,c79c9c59191770f705cd03752bd508c1,92b556886364501a15d7215a7905c9a8,0,0,3.5,3.5,3.5,3.5,3.5,35.0,0,0,1,0,1,2020-01-01 11:27:00
17,0,d9ac2292fc96a90c073288ca04a7441d,a97a34b86d4e39ec8a1ff97fcc7258d8,0,0,4.5,4.5,4.5,4.5,4.5,0.0,0,0,0,0,0,2019-12-27 14:20:00
18,0,0a7647542f8662bf412b33a818690017,c1cd6f4e1db1691737bba0917997edaa,0,0,4.5,4.0,4.0,4.0,4.5,0.0,0,3,1,0,0,2019-12-23 19:29:00
19,0,8f37dd458138d40ff95952de25fb2f89,46e76c955dda505a1542494bbaf93fe1,1,0,3.5,3.5,3.5,3.5,3.5,90.0,3,6,2,0,0,2019-12-19 11:21:00
20,0,30ae8023fd10df748db7f4eecb58f099,fdaadc8e6308ea126b7395d7473bb764,1,0,3.5,3.5,3.5,3.5,3.0,0.0,0,3,1,0,0,2019-12-13 23:07:00
21,0,3d60a46c02cc5f374950e60424e95bbe,5d5a2d2dbb612b5067d6c5508c5c4000,0,1,3.5,3.5,4.0,5.0,3.0,0.0,0,3,0,0,0,2019-12-13 21:27:00
